location,date,oxygen,phosphate,salinity,silicate,temperature
"(20.0, -80.0)",1965-05-31,4.595000000000001,0.0,36.15,5.0,27.62
"(20.0, -81.0)",1965-05-31,4.64,0.23,36.26,6.0,26.93
"(20.0, -81.0)",1972-04-30,4.64,0.23,35.87,6.0,26.34
"(20.0, -82.0)",1965-05-31,4.59,0.23,36.12,6.0,27.05
"(20.0, -82.0)",1970-02-28,4.633333333333333,0.23,35.82,6.0,25.4
"(20.0, -82.0)",1972-04-30,4.75,0.23,35.8875,6.0,26.35
"(20.0, -82.0)",1989-12-31,4.56,0.23,35.917,6.0,27.53
"(20.0, -83.0)",1968-04-30,4.58,0.23,36.196,6.0,27.07588541666667
"(20.0, -83.0)",1968-11-30,4.532500000000001,0.23,36.049,6.0,27.84
"(20.0, -83.0)",1970-05-31,4.532500000000001,0.23,36.064875,6.0,28.3
"(20.0, -83.0)",1971-03-31,4.532500000000001,0.23,36.064875,6.0,20.073333333333334
"(20.0, -83.0)",1971-08-31,4.255000000000001,0.23,36.113,6.0,29.555
"(20.0, -83.0)",1972-05-31,4.7,0.23,35.993,6.0,29.06
"(20.0, -83.0)",1989-12-31,4.595000000000001,0.23,35.973375,6.0,27.55375
"(20.0, -83.0)",2000-05-31,4.532500000000001,0.23,36.064875,6.0,28.150000000000002
"(20.0, -83.0)",2001-01-31,4.532500000000001,0.23,36.064875,6.0,26.074999999999996
"(20.0, -84.0)",1961-02-28,3.8724999999999996,1.13,35.812,6.0,26.58
"(20.0, -84.0)",1969-04-30,3.38,1.13,35.663,6.0,13.16
"(20.0, -84.0)",1970-05-31,3.8724999999999996,1.13,35.89025,6.0,28.1
"(20.0, -84.0)",1971-07-31,3.8724999999999996,1.13,35.97,6.0,27.17
"(20.0, -84.0)",1971-08-31,4.09,1.13,36.1165,6.0,29.175
"(20.0, -84.0)",1972-05-31,4.68,1.13,35.886,6.0,27.83
"(20.0, -84.0)",1972-07-31,3.8724999999999996,1.13,36.03,6.0,28.69
